"Unnamed..0","Objektart","Name","Link","Address","image_url"
41,"Skateanlage","Oespel","https://www.dortmund.de/de/leben_in_dortmund/familie_und_soziales/buero_fuer_kinderinteressen/sportanlagen_1/index.html","Borussiastraße nan, Dortmund","https://www.dortmund.de/media/p/dietrich_keuning_haus__dkh_/dkh_1/skatepark_PanoramaKlein.jpg"
42,"StadionArena","Friedrich-Hölscher-Str.","http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html","Friedrich-Hölscher-Straße 280, Dortmund","https://www.dortmund.de/media/bilder/kopfpanoramen/kopfpanoramenklein/sport_laufen_PanoramaKlein.jpg"
43,"Skateanlage","Kirchlinde","https://www.dortmund.de/de/leben_in_dortmund/familie_und_soziales/buero_fuer_kinderinteressen/sportanlagen_1/index.html","Bärenbruch nan, Dortmund","https://www.dortmund.de/media/p/dietrich_keuning_haus__dkh_/dkh_1/skatepark_PanoramaKlein.jpg"
44,"Skateanlage","Dietrich-Keuning-Haus","https://www.dortmund.de/de/freizeit_und_kultur/dietrich_keuning_haus/skatepark_1/index.html","Leopoldstraße 50-58, Dortmund","https://www.dortmund.de/media/p/dietrich_keuning_haus__dkh_/dkh_1/skatepark_PanoramaKlein.jpg"
45,"Skateanlage","Hombruch","https://www.dortmund.de/de/leben_in_dortmund/familie_und_soziales/buero_fuer_kinderinteressen/sportanlagen_1/index.html","","https://www.dortmund.de/media/p/dietrich_keuning_haus__dkh_/dkh_1/skatepark_PanoramaKlein.jpg"
46,"MountainbikeArena","Mountainbike-Parcour (Wickede)","http://www.dortmund.de/de/leben_in_dortmund/familie_und_soziales/buero_fuer_kinderinteressen/spielleitplanung/vorortmiteuch/starterprojekte/mountainbikestreckefrnkischerfriedhof/index.html","Fränkischer Friedhof nan, Dortmund","https://www.dortmund.de/media/p/jugendamt/buerofuerkinderinteressenspielleitplanung/vorortmiteuch/startprojekt_mountainbikestrecke/1_unterstandbaujpg_DetailGross.jpg"
47,"MountainbikeArena","Bikepark Hombruch","https://www.dortmund.de/de/leben_in_dortmund/familie_und_soziales/buero_fuer_kinderinteressen/sportanlagen_1/index.html","Kieferstraße nan, Dortmund",""
48,"MountainbikeArena","Bikepark Aplerbeck","http://www.bikepark-aplerbeck.de/","Benediktinerstraße 81, Dortmund","https://asc-09-dortmund.de/wp-content/uploads/2022/03/Bikepark-1.jpg"
49,"Eisbahn","Eissportzentrum Westfalen","https://www.eissportzentrum-westfalen.de/","Strobelallee 33, Dortmund","https://www.eissportzentrum-westfalen.de/wp-content/uploads/2017/11/cropped-IMG_0503.jpg"
50,"SportSonstiges","SuperFly Ruhr - Jump Emscher GmbH","https://dortmund.superfly.de/trampolinhalle/","Brennaborstraße 12, Dortmund","https://api.superfly.de/media/5fabc56372eba_gelb_1440.jpg"
51,"Kletteranlage","Kletterturm","http://www.dav-dortmund.de/unsere-sektion/der-kletterturm/","Vogelpothsweg nan, Dortmund","https://www.dav-dortmund.de/wp-content/uploads/2022/09/20220830_69950-1.jpg"
52,"Sportpark","Landesleistungszentrum des Westfälischen Turnerbundes","http://www.ktv-dortmund.de/","Lissaboner Allee 35, Dortmund","https://image.jimcdn.com/app/cms/image/transf/dimension=1920x400:format=jpg/path/s2ec8fbd181337291/image/i232c75a03944db28/version/1591767046/image.jpg"
53,"Tennis","Borussiastraße","http://tcoespelkley.de/","Borussiastraße 81, Dortmund","https://basis-datensysteme.de/museumluedo/bild2.jpg"
54,"StadionArena","Lissaboner Allee","http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html","Lissaboner Allee 31, Dortmund","https://www.dortmund.de/media/bilder/kopfpanoramen/kopfpanoramenklein/sport_laufen_PanoramaKlein.jpg"
55,"Tennis","Tennisplatzanlage Revierpark Wischlingen","","Höfkerstraße nan, Dortmund",""
56,"StadionArena","Im Dorney","http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html","Hedwigstraße 81, Dortmund","https://www.dortmund.de/media/bilder/kopfpanoramen/kopfpanoramenklein/sport_laufen_PanoramaKlein.jpg"
57,"StadionArena","Oesterstr.","http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html","Oesterstraße 66a, Dortmund","https://www.dortmund.de/media/bilder/kopfpanoramen/kopfpanoramenklein/sport_laufen_PanoramaKlein.jpg"
58,"Tennis","TC Grävingholz","https://www.tc-graevingholz.de/","Evinger Straße 390, Dortmund","https://static.wixstatic.com/media/f7d2c0_a20a168dce544a078b295f52439043d3~mv2.jpg/v1/fill/w_1600,h_305,al_c,q_85,enc_auto/f7d2c0_a20a168dce544a078b295f52439043d3~mv2.jpg"
59,"StadionArena","Grävingholz","http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html","Grävingholzstraße 75, Dortmund","https://www.dortmund.de/media/bilder/kopfpanoramen/kopfpanoramenklein/sport_laufen_PanoramaKlein.jpg"
60,"StadionArena","Stadion Rote Erde","http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html","Sportweg nan, Dortmund","https://www.dortmund.de/media/bilder/kopfpanoramen/kopfpanoramenklein/sport_laufen_PanoramaKlein.jpg"
61,"Fussball","SIGNAL IDUNA PARK","https://www.signal-iduna-park.de/","Strobelallee nan, Dortmund","https://www.signal-iduna-park.de/m/i/5/339d6f.jpeg"
62,"Tennis","TC Sölderholz","https://www.tc-soelderholz.de/","Jasminstraße 57, Dortmund","https://www.tc-soelderholz.de/s/img/emotionheader.jpg?1549152793.914px.261px"
63,"Tennis","TC Rot-Weiß Alperbeck","https://www.tc-rwa.de/","Schweizer Allee 30, Dortmund","https://www.tc-rwa.de/-_-/res/440cb9ba-0042-4265-ab15-6b0f5b6099ac/images/files/440cb9ba-0042-4265-ab15-6b0f5b6099ac/564673e4-e54b-43aa-9eed-6fef3a7fc182/480-400/1227ee8ffb8a5ef7be0fced444f85de60d5297ce"
64,"StadionArena","Brauksweg","http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html","Brauksweg 15, Dortmund","https://www.dortmund.de/media/bilder/kopfpanoramen/kopfpanoramenklein/sport_laufen_PanoramaKlein.jpg"
65,"StadionArena","Hacheneyer Str.","http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html","Hacheneyer Straße 88, Dortmund","https://www.dortmund.de/media/bilder/kopfpanoramen/kopfpanoramenklein/sport_laufen_PanoramaKlein.jpg"
