Unnamed: 0,Objektart,Name,Link,Address
58,StadionArena,Oesterstr.,http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html,"Oesterstraße 66a, Dortmund"
59,Tennis,Evinger Str.,,"Evinger Straße 390, Dortmund"
60,StadionArena,Grävingholz,http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html,"Grävingholzstraße 75, Dortmund"
61,StadionArena,Stadion Rote Erde,http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html,"Sportweg nan, Dortmund"
62,Fussball,SIGNAL IDUNA PARK,https://www.signal-iduna-park.de/,"Strobelallee nan, Dortmund"
63,SportSonstiges,Jump XL,https://jump-xl.com/de/dortmund/,"Schlägelstraße 58, Dortmund"
64,Kletteranlage,KletterMax,http://www.kletter-max.de/,"Strobelallee 40, Dortmund"
65,Tennis,Jasminstraße,https://www.tc-soelderholz.de/,"Jasminstraße 57, Dortmund"
66,Tennis,Schweizer Allee,https://www.tc-rwa.de/,"Schweizer Allee 30, Dortmund"
67,StadionArena,Brauksweg,http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html,"Brauksweg 15, Dortmund"
68,StadionArena,Hacheneyer Str.,http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html,"Hacheneyer Straße 88, Dortmund"
69,Skateanlage,Scharnhorst,https://www.dortmund.de/de/leben_in_dortmund/familie_und_soziales/buero_fuer_kinderinteressen/sportanlagen_1/index.html,"Flughafenstraße nan, Dortmund"
70,StadionArena,Hockeyzentrum-Hockeyanlage,http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html,"Ardeystraße 70-72, Dortmund"
71,Fussball,BVB-Trainingsgelände,,"Adi-Preißler-Allee 9, Dortmund"
72,StadionArena,Werimboldstr.,http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html,"Werimboldstraße 12a, Dortmund"
73,StadionArena,Husener Eichwaldstr.,http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html,"Husener Eichwaldstraße 266, Dortmund"
74,StadionArena,Waldhausweg,http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html,"Waldhausweg 26, Dortmund"
75,StadionArena,Eckei-Volksgarten,http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html,"Eckei 96, Dortmund"
76,StadionArena,Zum Hallenbad,http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html,"Zum Hallenbad 14, Dortmund"
77,StadionArena,Stockumer Str.,http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html,"Stockumer Straße 237a, Dortmund"
78,StadionArena,Büttnerstr.,http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html,"Büttnerstraße 87, Dortmund"
79,StadionArena,Schürener Str./oberer Platz u. unterer Platz,http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html,"Schürener Straße 47a, Dortmund"
80,StadionArena,Schumannstr./Lortzingplatz,http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html,"Schumannstraße 5a, Dortmund"
81,StadionArena,Schweizer Allee (Schulsportanlage),http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html,"Schweizer Allee 18-20, Dortmund"
82,StadionArena,Spreestr.,http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html,"Am Zippen 17, Dortmund"
83,StadionArena,Eberstr./Alemanniasportplatz,http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html,"Eberstraße nan, Dortmund"
84,Schiessen,Landesleistungszentrum des Westfälischen Schützenbundes,http://www.wsb1861.de/,"Eberstraße 30, Dortmund"
85,Pferderennbahn,Galopprennbahn Dortmund,http://www.dortmunder-rennverein.de,"Rennweg 70, Dortmund"
86,StadionArena,Hoeschpark,http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html,"Kirchderner Straße nan, Dortmund"
87,StadionArena,Am Hombruchsfeld,http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html,"Am Hombruchsfeld 71, Dortmund"
88,StadionArena,Schweizer Allee,http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html,"Schweizer Allee 29a, Dortmund"
89,StadionArena,Haferfeldstr.,http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html,"Haferfeldstraße nan, Dortmund"
90,StadionArena,Winkelriedweg,http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html,"Winkelriedweg nan, Dortmund"
